created_at,id,id_str,text,full_text,truncated,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,favorited_by,retweeted,scopes,lang,possibly_sensitive,display_text_width,display_text_range,retweeted_status,quoted_status,quoted_status_id,quoted_status_id_str,quoted_status_permalink,quote_count,timestamp_ms,reply_count,filter_level,metadata,query,withheld_scope,withheld_copyright,withheld_in_countries,possibly_sensitive_appealable
2023-02-05T01:29:25Z,1622044693222547500,1622044693222547457,"👨‍🏫🎙️ DT Fabián Bustos: ""En el mundo Barcelona no hay amistosos, estamos obligados a ganar todo, por nuestra gente y nuestra hinchada""

#BSCvsDCuenca #CopaDeCampeones 🏆 https://t.co/toeZFioqJU","👨‍🏫🎙️ DT Fabián Bustos: ""En el mundo Barcelona no hay amistosos, estamos obligados a ganar todo, por nuestra gente y nuestra hinchada""

#BSCvsDCuenca #CopaDeCampeones 🏆 https://t.co/toeZFioqJU",FALSE,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,17,144,FALSE,NA,FALSE,NA,es,FALSE,NA,168,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-05T01:29:03Z,162204460106539e4,1622044601065390088,"👨‍🏫🎙️ DT Fabián Bustos: ""Siempre hay cosas por mejorar, pero tenemos un plantel competitivo y con muchas ganas de hacer las cosas bien""

#BSCvsDCuenca #CopaDeCampeones 🏆 https://t.co/ehh1d9k0LM","👨‍🏫🎙️ DT Fabián Bustos: ""Siempre hay cosas por mejorar, pero tenemos un plantel competitivo y con muchas ganas de hacer las cosas bien""

#BSCvsDCuenca #CopaDeCampeones 🏆 https://t.co/ehh1d9k0LM",FALSE,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,15,82,FALSE,NA,FALSE,NA,es,FALSE,NA,169,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-05T01:28:12Z,1622044386455330800,1622044386455330818,"👨‍🏫🎙️ DT Fabián Bustos: ""El resultado debió haber sido más amplio, creamos más situaciones que el rival, pero siempre es bueno ganar, eso aumenta la confianza""

#BSCvsDCuenca #CopaDeCampeones 🏆 https://t.co/r9am833Qql","👨‍🏫🎙️ DT Fabián Bustos: ""El resultado debió haber sido más amplio, creamos más situaciones que el rival, pero siempre es bueno ganar, eso aumenta la confianza""

#BSCvsDCuenca #CopaDeCampeones 🏆 https://t.co/r9am833Qql",FALSE,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,16,111,FALSE,NA,FALSE,NA,es,FALSE,NA,193,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-05T01:17:19Z,1622041646547308500,1622041646547308545,https://t.co/7P8bvkCEtR,https://t.co/7P8bvkCEtR,FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,3,44,FALSE,NA,FALSE,NA,zxx,FALSE,NA,23,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-05T01:16:07Z,1622041347447201800,1622041347447201792,Muchas gracias a nuestra querida hinchada por alentarnos en esta #CopaDeCampeones 🏟️💛 https://t.co/243crsaC1a,Muchas gracias a nuestra querida hinchada por alentarnos en esta #CopaDeCampeones 🏟️💛 https://t.co/243crsaC1a,FALSE,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,9,203,FALSE,NA,FALSE,NA,es,FALSE,NA,85,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-05T00:54:26Z,1622035890049634300,1622035890049634308,"FINAL: #BSCvsDCuenca 1-0

⚽️ Gabriel Cortez

#CopaDeCampeones #VamosÍdolo 🟡⚫️ https://t.co/wAVWTqq7E7","FINAL: #BSCvsDCuenca 1-0

⚽️ Gabriel Cortez

#CopaDeCampeones #VamosÍdolo 🟡⚫️ https://t.co/wAVWTqq7E7",FALSE,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,105,745,FALSE,NA,FALSE,NA,es,FALSE,NA,77,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-05T00:33:16Z,1622030563807821800,1622030563807821824,"Gabriel Cortez definió desde el punto penal 🎯

#BSCvsDCuenca #CopaDeCampeones 🏆 https://t.co/mLgJYyNWWX","Gabriel Cortez definió desde el punto penal 🎯

#BSCvsDCuenca #CopaDeCampeones 🏆 https://t.co/mLgJYyNWWX",FALSE,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,34,241,FALSE,NA,FALSE,NA,es,FALSE,NA,79,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-05T00:09:40Z,1622024621493977e3,1622024621493977089,"#BSCvsDCuenca 1-0

¡Gabriel Cortez abre el marcador de penal!

#CopaDeCampeones #VamosÍdolo 🟡⚫️","#BSCvsDCuenca 1-0

¡Gabriel Cortez abre el marcador de penal!

#CopaDeCampeones #VamosÍdolo 🟡⚫️",FALSE,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,29,242,FALSE,NA,FALSE,NA,es,NA,NA,95,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-05T00:08:27Z,1622024317289504800,1622024317289504768,"Se juega el segundo tiempo, ¡Vamos Ídolo!

#BSCvsDCuenca #CopaDeCampones 🏆 https://t.co/KRx9XIWP9m","Se juega el segundo tiempo, ¡Vamos Ídolo!

#BSCvsDCuenca #CopaDeCampones 🏆 https://t.co/KRx9XIWP9m",FALSE,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,11,99,FALSE,NA,FALSE,NA,es,FALSE,NA,74,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-04T23:51:56Z,1622020159543050200,1622020159543050240,"Final del primer tiempo ⏸️

#BSCvsDCuenca 0-0

#CopaDeCampones #VamosÍdolo 🟡⚫️ https://t.co/2LTyvg6fAl","Final del primer tiempo ⏸️

#BSCvsDCuenca 0-0

#CopaDeCampones #VamosÍdolo 🟡⚫️ https://t.co/2LTyvg6fAl",FALSE,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,16,200,FALSE,NA,FALSE,NA,es,FALSE,NA,78,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
