created_at,id,id_str,text,full_text,truncated,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,favorited_by,retweeted,scopes,lang,possibly_sensitive,display_text_width,display_text_range,retweeted_status,quoted_status,quoted_status_id,quoted_status_id_str,quoted_status_permalink,quote_count,timestamp_ms,reply_count,filter_level,metadata,query,withheld_scope,withheld_copyright,withheld_in_countries,possibly_sensitive_appealable
2023-02-05T00:05:36Z,1622023599576998e3,1622023599576997888,Linda noche la de anoche 👊😎 https://t.co/x0YcpMxWtL,Linda noche la de anoche 👊😎 https://t.co/x0YcpMxWtL,FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,4,72,FALSE,NA,FALSE,NA,es,FALSE,NA,27,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-04T17:20:01Z,1621921529972785200,1621921529972785155,"La patada inicial de esta temporada la dio @kfcecuador.
El Coro 😎 Is In DA HOUSE 🎤🤝😉 https://t.co/3QSfEm6P6h","La patada inicial de esta temporada la dio @kfcecuador.
El Coro 😎 Is In DA HOUSE 🎤🤝😉 https://t.co/3QSfEm6P6h",FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,14,142,FALSE,NA,FALSE,NA,es,FALSE,NA,84,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-04T15:46:52Z,1621898089333227500,1621898089333227521,"Y cómo dice que no se goza, que no se goza 🎥.
El mejor grupo para producir material Diferente 🫶💙🖤🤝#UnClubDiferente https://t.co/pi5ysVyc3l","Y cómo dice que no se goza, que no se goza 🎥.
El mejor grupo para producir material Diferente 🫶💙🖤🤝#UnClubDiferente https://t.co/pi5ysVyc3l",FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,6,79,FALSE,NA,FALSE,NA,es,FALSE,NA,114,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-04T02:23:13Z,1621695845862199300,1621695845862199296,"Gracias por acompañarnos 🫶🖤💙
Te queremos siempre en casa 🏡 https://t.co/ZOtYgfpYpP","Gracias por acompañarnos 🫶🖤💙
Te queremos siempre en casa 🏡 https://t.co/ZOtYgfpYpP",FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,9,302,FALSE,NA,FALSE,NA,es,FALSE,NA,58,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-04T02:15:36Z,1621693928826146800,1621693928826146816,Michael 🖤💙🫶 https://t.co/kNCYzdNvlu,Michael 🖤💙🫶 https://t.co/kNCYzdNvlu,FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,7,202,FALSE,NA,FALSE,NA,ht,FALSE,NA,11,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-04T02:14:11Z,162169357205026e4,1621693572050259969,"PRIMERA l 90’ ST ⏱️ #IDVFanFest Goooooooooollllll Michael  #IDV 2 Guayaquil City 0
📸 @pressouthec","PRIMERA l 90’ ST ⏱️ #IDVFanFest Goooooooooollllll Michael  #IDV 2 Guayaquil City 0
📸 @pressouthec",FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,2,46,FALSE,NA,FALSE,NA,und,NA,NA,97,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-04T02:06:45Z,1621691698836344800,1621691698836344837,"PRIMERA l 85’ ST ⏱️ #IDVFanFest  #IDV 1 Guayaquil City 0
📸 @pressouthec https://t.co/eRIRafiPao","PRIMERA l 85’ ST ⏱️ #IDVFanFest  #IDV 1 Guayaquil City 0
📸 @pressouthec https://t.co/eRIRafiPao",FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,2,72,FALSE,NA,FALSE,NA,und,FALSE,NA,71,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-04T02:02:08Z,1621690537068695600,1621690537068695554,"PRIMERA l 80’ ST ⏱️ #IDVFanFest  #IDV 1 Guayaquil City 0
📸 @pressouthec https://t.co/Lxq9fZy66G","PRIMERA l 80’ ST ⏱️ #IDVFanFest  #IDV 1 Guayaquil City 0
📸 @pressouthec https://t.co/Lxq9fZy66G",FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,2,24,FALSE,NA,FALSE,NA,und,FALSE,NA,71,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-04T01:56:43Z,1621689176742678500,1621689176742678529,"PRIMERA l 75’ ST ⏱️ #IDVFanFest  #IDV 1 Guayaquil City 0
📸 @pressouthec https://t.co/8auVq5mZzf","PRIMERA l 75’ ST ⏱️ #IDVFanFest  #IDV 1 Guayaquil City 0
📸 @pressouthec https://t.co/8auVq5mZzf",FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,6,60,FALSE,NA,FALSE,NA,und,FALSE,NA,71,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-04T01:51:28Z,1621687852374311e3,1621687852374310912,"PRIMERA l 70’ ST ⏱️ #IDVFanFest  #IDV 1 Guayaquil City 0
📸 @pressouthec https://t.co/dMFM83L9mU","PRIMERA l 70’ ST ⏱️ #IDVFanFest  #IDV 1 Guayaquil City 0
📸 @pressouthec https://t.co/dMFM83L9mU",FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,1,28,FALSE,NA,FALSE,NA,und,FALSE,NA,71,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
